ATIVO;DESC ATIVO;COMPONENTE;PROJETO;MDO;CODIGO;DESC CODIGO;FATOR I;FATOR R;FILTRO
SI3;ARMAÇÃO SECUNDÁRIA DE 2 ESTRIBOS;2 ESTRIBOS;RONDONIA;MATERIAL;92017;ARMACAO SECUNDARIA ACO GALV 2 ESTRIBOS 310X50X5,0MM 325X16MM;1.0;1.0;
SI1;ARMAÇÃO SECUNDÁRIA DE 2 ESTRIBOS;2 ESTRIBOS;RONDONIA;MATERIAL;90389;ARRUELA QUADRADA ACO GALV 38X18X3MM;4.0;4.0;
;ARMAÇÃO SECUNDÁRIA DE 2 ESTRIBOS;2 ESTRIBOS;RONDONIA;MATERIAL;90295;ISOLADOR ROLDANA PORCELANA 79X76MM 1350DAN MRM;2.0;2.0;
;ARMAÇÃO SECUNDÁRIA DE 2 ESTRIBOS;2 ESTRIBOS;RONDONIA;MATERIAL;90365;PARAFUSO DISTR CAB QUAD ACO-GALV M16 350MM 5000DAN;2.0;2.0;
2ESCORA;PLACA CONCRETO ESCORA PLANA;2ESCORAS;RONDONIA;MAO-DE-OBRA;1006;Cava para poste ou estai.;1.0;1.0;
;PLACA CONCRETO ESCORA PLANA;2ESCORAS;RONDONIA;MATERIAL;90585;PLACA CONCRETO ESTAI/ESC PLANA 200X1000MM 100MM 1600DAN CL2;2.0;2.0;
ALCA10;ALCA PARA CABO 1/0 AWG CA/CAA;ALCA10;RONDONIA;MATERIAL;90307;ALCA PREF DISTR ACO-ZINC 9,15-10,25MM 670MM AMR;1.0;1.0;
ALCA2;ALCA PARA CABO 2 AWG CA/CAA;ALCA2;RONDONIA;MATERIAL;90306;ALCA PREF DISTR ACO-ZINC 7,30-8,20MM 610MM VRM;1.0;1.0;
ALCA20;ALCA PARA CABO 2/0 AWG CA/CAA;ALCA20;RONDONIA;MATERIAL;90685;ALCA PREF DISTR ACO-ZINC 10,30-11,55MM 710MM AZL;1.0;1.0;
ALCA336;ALCA PARA CABO 336,4 AWG CAA;ALCA336CAA;RONDONIA;MATERIAL;90310;ALCA PREF DISTR ACO-ZINC 17,40-19,30MM 1000MM AMR;1.0;1.0;
ALCA4;ALCA PARA CABO 4 AWG CA/CAA;ALCA4;RONDONIA;MATERIAL;90683;ALCA PREF DISTR ACO-ZINC 5,70-6,45MM 430MM LRJ;1.0;1.0;
ALCA40;ALCA PARA CABO 4/0 AWG CA/CAA;ALCA40;RONDONIA;MATERIAL;90308;ALCA PREF DISTR ACO-ZINC 13,10-14,65MM 865MM VRM;1.0;1.0;
;ALÇA PREF. ESTAI P/ CABO ACO 3/8';CAD95;RONDONIA;MATERIAL;90302;ALCA PREF CORD ACO-ZN 9,50MM 6X2.54MM 660MM LRJ;1.0;1.0;
;CABO DE ACO SM 3.09MM CAZ;CAZ309;RONDONIA;MAO-DE-OBRA;1103;Condutores de alumínio, por 100Kg.;0.0058;0.0058;
;CABO DE ACO SM 3.09MM CAZ;CAZ309;RONDONIA;MATERIAL;8242;FIO ACO ZINCADO CAZ 3,09 MM;0.058;0.058;
;CONECTOR CUNHA 1/0 1/0 C/ CART. PVC;CC10-10;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
